nome civil,data de nascimento,partido / UF,naturalidade,endereço parlamentar,telefones,FAX,correio eletrônico
Francisco Oswaldo Neves Dornelles,07/01/1935,PP / RJ,Belo Horizonte (MG),"Ala Senador TeotÃ´nio Vilela, gab. 11",(61) 3303-4229,(61) 3303-2896,francisco.dornelles@senador.gov.br
Garibaldi Alves,27/05/1923,PMDB / RN,Natal (RN),Ala Teotonio Vilela Gab. 03,(61)3303-1777,(61)3303-1701,garibaldi@senador.gov.br
Jorge Afonso Argello,05/04/1962,PTB / DF,SÃ£o Vicente (SP),Anexo I 14Âº andar gabinete 4,(61) 3303-1161/3303-1547,(61) 3303-1650,gim.argello@senador.gov.br
Humberto SÃ©rgio Costa Lima,07/07/1957,PT / PE,Campinas (SP),Ala Filinto MÃ¼ller gab. 01,(61) 3303-6285 / 6286,(61) 3303 6293,humberto.costa@senador.gov.br
InÃ¡cio Francisco de Assis Nunes Arruda,05/05/1957,PC DO B / CE,Fortaleza (CE),"Ala Senador Filinto Muller, gab. 07",(61) 3303-5791 3303-5793,(61) 3303-5798,inacioarruda@senador.gov.br
Ivo Narciso Cassol,20/01/1959,PP / RO,ConcÃ³rdia (SC),"Anexo I, 16o. andar salas 1 a 6",(61) 3303.6328 / 6329,(61) 3303.6334,ivo.cassol@senador.gov.br
Jader Fontenelle Barbalho,27/10/1944,PMDB / PA,BelÃ©m (PA),Anexo I  - 2Âº andar - salas 4 a 7,"(61) 3303.9831, 3303.9832",(61) 3303.9828,jader.barbalho@senador.gov.br
Jarbas de Andrade Vasconcelos,23/08/1942,PMDB / PE,VicÃªncia (PE),"Ala Senador Dinarte Mariz, gab. 04",(61) 3303-3245,(61) 3303-1977,jarbas.vasconcelos@senador.gov.br
Jayme VerÃ­ssimo Campos,13/09/1951,DEM / MT,CuiabÃ¡ (MT),"Ala Senador Afonso Arinos, gab. 11",(61) 3303-4061/1048,(61) 3303-2973,jayme.campos@senador.gov.br
JoÃ£o Alberto de Souza,01/10/1935,PMDB / MA,SÃ£o Vicente Ferrer (MA),"Anexo I, 5o. andar salas 1 a 6",(061) 3303-6352 / 6349,(061) 3303-6354,joao.alberto@senador.gov.br
JoÃ£o Alberto Rodrigues Capiberibe,06/05/1947,PSB / AP,AfuÃ¡ (PA),"Ala Sen. TeotÃ´nio Vilela, gab. 22",(61) 3303-9011/3303-9014,(61) 3303-9019,capi@senador.gov.br
JoÃ£o Durval Carneiro,08/05/1929,PDT / BA,Feira de Santana (BA),"Ala Senador TeotÃ´nio Vilela, gab. 09",(61) 3303-3173,(61) 3303-2862,joaodurval@senador.gov.br
JoÃ£o Vicente de MacÃªdo Claudino,09/02/1963,PTB / PI,Cajazeiras (PB),"Ala Senador TEOTÃNIO VILELA, GABINETE 06",(61) 3303-2415/4847/3055,(61) 3303-2967,j.v.claudino@senador.gov.br
Jorge Ney Viana Macedo Neves,20/09/1959,PT / AC,Rio Branco (AC),Ala Rui Carneiro Gab 01,(61) 3303-6366 e 3303-6367,(61) 3303-6374,jorgeviana.acre@senador.gov.br
JosÃ© Agripino Maia,23/05/1945,DEM / RN,MossorÃ³ (RN),Anexo II - Ala Senador Afonso Arinos - Gab. 09 - TÃ©rreo,(61) 3303-2361 a 2366,(61) 3303-1816/1641,jose.agripino@senador.gov.br
JosÃ© Barroso Pimentel,16/10/1953,PT / CE,Picos (PI),Ala Filinto MÃ¼ller gab. 13,(61) 3303-6390  /6391,(61) 3303-6394,gab.josepimentel@senado.gov.br
JosÃ© Sarney,24/04/1930,PMDB / AP,Pinheiro (MA),"Anexo I, 6Âª andar",(61) 3303-3429/3430,(61) 3303-1776,sarney@senador.gov.br
KÃ¡tia Regina de Abreu,02/02/1962,PSD / TO,GoiÃ¢nia (GO),"Ala Senador TeotÃ´nio Vilela, gab. 04",(61) 3303-2708,(61) 3303-2990,katia.abreu@senadora.gov.br
LÃ­dice da Mata E Souza,12/03/1956,PSB / BA,Cachoeira (BA),Ala Teotonio Vilela gab. 15,(61) 3303-6408/ 3303-6417,(61) 3303-6414,lidice.mata@senadora.gov.br
Luiz Lindbergh Farias Filho,08/12/1969,PT / RJ,JoÃ£o Pessoa (PB),Ala Afonso Arinos gab. 02,(61) 3303-6426 / 6427,(61) 3303-6434,lindbergh.farias@senador.gov.br
Edison LobÃ£o Filho,17/09/1964,PMDB / MA,BrasÃ­lia (DF),"Ala Tancredo Neves, gab. 54",(61) 3303-2311 a  2314,(61) 3303-2755,lobaofilho@senador.gov.br
LÃºcia VÃ¢nia AbrÃ£o,15/10/1944,PSDB / GO,Cumari (GO),"Ala Sen. TeotÃ´nio Vilela, gab. 16",(61) 3303-2035/2844,(61) 3303-2868,lucia.vania@senadora.gov.br
Luiz Henrique da Silveira,25/02/1940,PMDB / SC,Blumenau (SC),Ala Nilo Coelho gab. 04,(61) 3303-6446/6447,(61) 3303-6454,luizhenrique@senador.gov.br
Magno Pereira Malta,16/10/1957,PR / ES,Macarani (BA),"Ala Senador Tancredo Neves, gabinete 57",(61) 3303-4161/5867,(61) 3303-1656,magnomalta@senador.gov.br
Maria do Carmo do Nascimento Alves,23/08/1941,DEM / SE,Cedro de SÃ£o JoÃ£o (SE),"Ala Senador Nilo Coelho, gab. 08",(61) 3303-1306/4055,(61) 3303-2878,maria.carmo@senadora.gov.br
MÃ¡rio Couto Filho,14/01/1946,PSDB / PA,(PA),"Ala Senador Tancredo Neves, gabinete 50",(61) 3303-3050,(61) 3303-2958,mario.couto@senador.gov.br
Francisco Mozarildo de Melo Cavalcanti,11/06/1944,PTB / RR,Boa Vista (RR),"Ala Senador Ruy Carneiro, gabinete 03",(61) 3303-4078 / 3315,(61) 3303-1548,mozarildo@senador.gov.br
Paulo Roberto Bauer,20/03/1957,PSDB / SC,Blumenau (SC),Ala Afonso Arinos gab. 05,(61) 3303-6529,(61) 3303-6535,paulobauer@senador.gov.br
Paulo Roberto Davim,25/10/1959,PV / RN,Natal (RN),Anexo I - 8Âº andar,(61) 3303-2371 / 2372 / 2377,(61) 3303-1813,""
Paulo Renato Paim,15/03/1950,PT / RS,Caxias do Sul (RS),"Anexo I, 22Âº andar, gab. 04",(61) 3303-5227/5232,(61) 3303-5235,paulopaim@senador.gov.br
Pedro Jorge Simon,31/01/1930,PMDB / RS,Caxias do Sul (RS),"Ala Senador Alexandre Costa, gab 03",(61) 3303-3232,(61) 3303-1304,simon@senador.gov.br
JosÃ© Pedro GonÃ§alves Taques,15/03/1968,PDT / MT,CuiabÃ¡ (MT),Ala Afonso Arinos gab. 04,(61) 3303-6550 e 3303-6551,(61) 3303-6554,pedrotaques@senador.gov.br
Randolph Frederich Rodrigues Alves,06/11/1972,PSOL / AP,Garanhuns (PE),Ala Teotonio Vilela gab. 17,(61) 3303-6568,(61) 3303-6574,randolfe.rodrigues@senador.gov.br
JosÃ© Renan Vasconcelos Calheiros,16/09/1955,PMDB / AL,Murici (AL),Anexo I - 15Âº andar,(61) 3303-2261/2263,(61) 3303-1695,renan.calheiros@senador.gov.br
Ricardo de Rezende FerraÃ§o,17/08/1963,PMDB / ES,Cachoeiro de Itapemirim (ES),"Anexo I, 4o. andar salas 1 a 7",(61) 3303-6590,(61) 3303-6592,ricardoferraco@senador.gov.br
Roberto RequiÃ£o de Mello e Silva,05/03/1941,PMDB / PR,Curitiba (PR),"Ala Senador TeotÃ´nio Vilela, Gab. 18",(61) 3303-6623/6624,(61) 3303-6628,roberto.requiao@senador.gov.br
Rodrigo Sobral Rollemberg,13/07/1959,PSB / DF,Rio de Janeiro (RJ),Ala Filinto MÃ¼ller gab. 10,(61) 3303-6640,(61) 3303-6647,rollemberg@senador.gov.br
Romero JucÃ¡ Filho,30/11/1954,PMDB / RR,Recife (PE),"Ala Senador Afonso Arinos, gab. 12",(61) 3303-2112 / 3303-2115,(61) 3303-1653,romero.juca@senador.gov.br
Ruben FigueirÃ³ de Oliveira,03/10/1931,PSDB / MS,Rio Brilhante (MS),"Ala Afonso Arinos, Gabinete 03",(61) 3303-1128 / 4844,(61) 3303-1920,ruben.figueiro@senador.gov.br
SÃ©rgio de Oliveira Cunha,20/04/1960,PSD / AC,Rio Branco (AC),Ala Teotonio Vilela gab. 21,(61) 3303-6706 a 6713,(61) 3303.6714,sergiopetecao@senador.gov.br
SÃ©rgio de Souza,13/03/1971,PMDB / PR,IvaiporÃ£ (PR),"Anexo 2, Ala TeotÃ´nio Vilela, gabinete 23",(61) 3303-6271/ 6261,(61) 3303-6273,sergiosouza@senado.gov.br
Valdir Raupp de Matos,24/08/1955,PMDB / RO,SÃ£o JoÃ£o do Sul (SC),"Ala Senador TeotÃ´nio Vilela, gab. 25",(61) 3303-2252/2253,(61) 3303-2853,valdir.raupp@senador.gov.br
Vanessa Grazziotin,29/06/1961,PC DO B / AM,Videira (SC),Ala Senador Alexandre Costa Gab 05,(61) 3303-6726,(61) 3303-6734,vanessa.grazziotin@senadora.gov.br
Vicente Alves de Oliveira,01/10/1957,PR / TO,Porto Nacional (TO),Ala Filinto MÃ¼ller - Gab. 04,(61) 3303-6469 / 6467,(61) 3303 6474,vicentinho.alves@senador.gov.br
Vital do RÃªgo Filho,21/09/1963,PMDB / PB,Campina Grande (PB),"Anexo I, 18Âº andar",(61) 3303-6747,(61) 3303-6753,vital.rego@senador.gov.br
Waldemir Moka Miranda de Britto,10/10/1951,PMDB / MS,Bela Vista (MS),Ala Alexandre Costa gab. 07,(61) 3303-6767 / 6768,(61) 3303-6774,waldemir.moka@senador.gov.br
Walter de Freitas Pinheiro,25/05/1959,PT / BA,Salvador (BA),Ala Teotonio Vilela gab. 13,(61) 33036788/6790,(61) 3303-6794,pinheiro@senador.gov.br
JosÃ© Wellington Barroso de Araujo Dias,05/03/1962,PT / PI,Oeiras (PI),"Ala Afonso Arinos, gabinete nÂº 06",(61) 3303 9049/9050/9053,(61) 3303 9048,wellington.dias@senador.gov.br
Wilder Pedro de Morais,29/06/1968,DEM / GO,Taquaral (GO),"Ala Afonso Arinos, gabinete 13, Anexo II",(61)3303 2092 a (61)3303 2099,(61) 3303 2964,wilder.morais@senador.gov.br
JosÃ© Perrella de Oliveira Costa,22/02/1957,PDT / MG,SÃ£o GonÃ§alo do ParÃ¡ (MG),Ala Senador Antonio Carlos MagalhÃ£es - Gabinete 05,(61) 3303-2191,(61) 3303-2775,zeze.perrella@senador.gov.br
