NOME,ESTADO,PARTIDO,SETOR,ENDEREÇO,TELEFONE,FAX
ATAÍDES OLIVEIRA,TO,PSDB,Escritório de Apoio 2 do Senador Ataídes Oliveira,"RUA 101 SUL, CONJUNTO, 1. LOTE 3. ED. CARPE DIEM. SALAS 501/503. PLANO DIRETOR SUL, PALMAS, TO. CEP:77015-002",,
ATAÍDES OLIVEIRA,TO,PSDB,Escritório de Apoio 3 do Senador Ataídes Oliveira,"RUA  RUA 3, N° 697, QUADRA 18, LOTE, 1. SETOR COIMBRA, ARAGUAÍNA, TO. CEP:77826-572",,
BENEDITO DE LIRA,AL,PP,Escritório de Apoio n. 01 do Senador Benedito de Lira,"AVENIDA DR. ANTÔNIO GOUVEIA, 61. SALAS 604 E 605. PAJUÇARA, MACEIO, AL. CEP:57030-170",,
BLAIRO MAGGI,MT,PR,Escritório de Apoio 1 do Senador Blairo Maggi,"AVENIDA MIGUEL SUTIL, 8000. ED. SANTA ROSA TOWER, SALA 1303, 13º ANDAR. JARDIM MARIANA, CUIABA, MT. CEP:78040-700",,
CASILDO MALDANER,SC,PMDB,Escritório de Apoio 1 do Senador Casildo Maldaner,"RUA SALDANHA MARINHO, 374. EDIFÍCIO ZIGURATE, SALA 903. CENTRO, FLORIANÓPOLIS, SC. CEP:88010-450",,
CASSIO CUNHA LIMA,PB,PSDB,Escritorio de Apoio 1 do Senador Cássio Cunha Lima,"AVENIDA EPITÁCIO PESSOA, 1251. 5º ANDAR, SALAS NºS 509/510. BAIRRO DOS ESTADOS, JOÃO PESSOA, PB. CEP:58030-001",6133039808,
CASSIO CUNHA LIMA,PB,PSDB,Escritorio de Apoio 2 do Senador Cássio Cunha Lima,"AVENIDA RIO BRANCO, 394. 1º ANDAR, SALAS NºS 111/113. CENTRO, CAMPINA GRANDE, PB. CEP:58400-058",6133039808,
CICERO LUCENA,PB,PSDB,Escritorio de Apoio do Senador Cícero Lucena,"AVENIDA MONESELHO WALFREDO LEAL, 589. TAMBIÁ, JOÃO PESSOA, PB. CEP:58020-540",6133032431,
CIRO NOGUEIRA,PI,PP,Escritório de Apoio do Senador Ciro Nogueira,"RUA ANTONIO CHAVES, 1975. NOIVOS, TERESINA, PI. CEP:64045-340",8632216654,8632212777
CLÉSIO ANDRADE,MG,PMDB,Escritório de Apoio 1 do Senador Clésio de Andrade,"RUA REBELO HORTA, 104. SÃO JOSÉ/PAMPULHA, BELO HORIZONTE, MG. CEP:31275-190",,
CYRO MIRANDA,GO,PSDB,Escritório de Apoio 1 do Senador Cyro Miranda,"ALAMEDA RICARDO PARANHOS, 1500. QUADRA 246, LOTE 4. SETOR MARISTA, GOIANIA, GO. CEP:74180.050",,
DELCIDIO AMARAL,MS,PT,Escritorio de Apoio do Senador Delcídio do Amaral,"RUA ANTONIO MARIA COELHO, 3520. JARDIM DOS ESTADOS, CAMPO GRANDE, MS. CEP:79020-210",6133032453,
EDUARDO AMORIM,SE,PSC,Escritório de Apoio 1 do Senador Eduardo Amorim,"AVENIDA MURILO DANTAS, 881. GALERIA FAROL CENTER, ALA A, SALA 4.. FAROLÂNDIA, ARACAJU, SE. CEP:49032-490",7932130192,
EDUARDO BRAGA,AM,PMDB,Escritório do Senador Eduardo Braga,"ALAMEDA PORTUGAL, 109. QUADRA 7. PONTA NEGRA, MANAUS, AM. CEP:69037-023",9236439511,9236439531
EDUARDO LOPES,RJ,PRB,Escritório de Apoio 1 do Senador Eduardo Lopes,"RUA CANDELÁRIA, 9. GRUPO 811 - 8. ANDAR. RIO DE JANEIRO, RJ. CEP:20091-020",2122630010,
EDUARDO SUPLICY,SP,PT,Escritorio de Apoio do Senador Eduardo Suplicy,"RUA MANDURI, 428. JARDIM PAULISTANO, SÃO PAULO, SP. CEP:01457-020",6133033213,
EPITÁCIO CAFETEIRA,MA,PTB,Escritorio de Apoio do Senador Epitácio Cafeteira,"AVENIDA  CEL. COLARES  MOREIRA, 444. ED. MONUMENTAL, SALA 239.  RENASCENÇA, SÃO LUIS, MA. CEP:65075-441",6133112311,
EUNÍCIO OLIVEIRA,CE,PMDB,Escritório de Apoio do Senador Eunício Oliveira,"AVENIDA DESEMBARGADOR MOREIRA, 2849. COBERTURA - CENTRO COMERCIAL FLÁVIO CARNEIRO. MEIRELES, FORTALEZA, CE. CEP:60170-173",8532249898,
FLEXA RIBEIRO,PA,PSDB,Escritorio de Apoio do Senador Flexa Ribeiro,"AVENIDA ALMIRANTE BARROSO, 3. ALAMEDA MOREIRA DA COSTA, 3.. MARCO, BELÉM, PA. CEP:66093-710",613303.2342,
FRANCISCO DORNELLES,RJ,PP,Escritorio de Apoio do Senador Francisco Dornelles,"RUA SÃO JOSÉ, 90. ED. ARCOVERDE. CENTRO, RIO DE JANEIRO, RJ. CEP:20010-901",2122404415,
GARIBALDI ALVES,RN,PMDB,Escritorio de Apoio do Senador Garibaldi Alves,"AVENIDA SENADOR SALGADO FILHO, 2190. SALA 127. LAGOA NOVA, NATAL, RN. CEP:59075-000",6133032371,
HUMBERTO COSTA,PE,PT,Escritório de Apoio 2 do Senador Humberto Costa,"RUA ISAURA CAVALCANTE DE OLIVEIRA, 4. CENTRO, VICENCIA, PE. CEP:55850-000",,
HUMBERTO COSTA,PE,PT,Escritório de Apoio 3 do Senador Humberto Costa,"RUA PEDRO FERREIRA DA SILVA, 27. ACAUÃ, SANTA CRUZ DO CAPIBARIBE, PE. CEP:55190-000",,
HUMBERTO COSTA,PE,PT,Escritório de Apoio do Senador Humberto Costa,"RUA CARLOS PEREIRA FALCÃO, 334. BOA VIAGEM, RECIFE, PE. CEP:51021-350",,
INÁCIO ARRUDA,CE,PCdoB,Escritorio de Apoio do Senador Inácio Arruda,"AVENIDA 13 DE MAIO ED OFFICE TREZA DE MAIO. SALAS 1403-1404. FATIMA, FORTALEZA, CE. CEP:60040-531",6133032431,
IVO CASSOL,RO,PP,Escritório de Apoio 2 do Senador Ivo Cassol,"RUA SALGADO FILHO, 1820. NOSSA SENHORA DAS GRAÇAS, PORTO VELHO, RO. CEP:76940-970",,
IVO CASSOL,RO,PP,Escritório de Apoio do Senador Ivo Cassol,"AVENIDA RIO MADEIRA, 5611. CENTRO, ROLIM DE MOURA, RO. CEP:76940-970",,
JADER BARBALHO,PA,PMDB,Escritório de Apoio 1 do Senador Jáder Barbalho,"RUA GASPAR VIANA, 773. ENTRE AVS. DUQUE DE CAXIAS E VISC. DE INHAÚMAS. REDUTO, BELÉM, PA. CEP:66053-090",,
JARBAS VASCONCELOS,PE,PMDB,Escritório de Apoio do Senador Jarbas Vasconcelos,"RUA RUA DO JASMIM N° 269. ILHA DO LEITE. RECIFE, PE. CEP:50070-580",8134216106,
JAYME CAMPOS,MT,DEM,Escritório de Apoio do Senador Jayme Campos,"RUA PEDRO PEDROSSIAN, 1245. ALA A. CENTRO SUL, VARZEA GRANDE, MT. CEP:78110-070",6539276348,
JORGE VIANA,AC,PT,Escritório de Apoio 1 do Senador Jorge Viana,"RUA RUI BARBOSA, 435. SALA 204. CENTRO, RIO BRANCO, AC. CEP:69900-084",6832233434,
JOSÉ AGRIPINO,RN,DEM,Escritorio de Apoio do Senador José Agripino,"RUA JOAQUIM INÁCIO, 1678. TIROL, NATAL, RN. CEP:59075-250",6133032366,
JOSÉ PIMENTEL,CE,PT,Escritório de Apoio 1 do Senador José Pimentel,"AVENIDA UNIVERSIDADE, 2290. BENFICA, FORTALEZA, CE. CEP:60020-180",8532311331,
JOSÉ SARNEY,AP,PMDB,Escritório de Apoio do Senador José Sarney,"AVENIDA CARLOS GOMES Nº 920-B. SANTA RITA, MACAPA, AP. CEP:68906-050",6133113429,
JOÃO ALBERTO SOUZA,MA,PMDB,Escritório de Apoio do Senador João Alberto Souza,"AVENIDA MARECHAL CASTELO BRANCO, 362. SÃO FRANCISCO, SÃO LUIS, MA. CEP:65076-091",6133031402,
JOÃO CAPIBERIBE,AP,PSB,Escritório de Apoio do Senador João Capiberibe,"AVENIDA GLICÉRIO DE SOUZA FIGUEIREDO, 2562. NOVO HORIZONTE I, MACAPA, AP. CEP:68909-821",3132610121,
JOÃO DURVAL,BA,PDT,Escritorio de Apoio do Senador João Durval,"RUA EWERTON VISCO Nº 324. ED. HOLDING EMPRESARIAL. SALA 505. CAMINHO DAS ÁRVORES, SALVADOR, BA. CEP:41820-022",6133112431,
JOÃO VICENTE CLAUDINO,PI,PTB,Escritorio de Apoio do Senador João Vicente Claudino,"RUA NAPOLEÃO LIMA, 1530. JOCKEY CLUBE. TERESINA, PI. CEP:64049-220",6133032431,
KATIA ABREU,TO,PSD,Escritório de Apoio da Senadora Kátia Abreu,"RUA 35 COM A 36. QUADRA 153, LOTE, 14. JARDIM AURENY, PALMAS, TO. CEP:77062-024",6133112431,
LINDBERGH FARIAS,RJ,PT,Escritório de Apoio do Senador Lindbergh Farias,"AVENIDA NILO PEÇANHA, 50. SALA 316. ED. RODOLPHO DE PAOLI.. CENTRO, RIO DE JANEIRO, RJ. CEP:20020-906",2135291984,
LOBÃO FILHO,MA,PMDB,Escritório de Apoio do Senador Lobão Filho,"RUA BÚZIOS, 36. Nº 06. CALHAU, SÃO LUIS, MA. CEP:65071-700",6133032311,
LUIZ HENRIQUE,SC,PMDB,Escritório de Apoio 1 do Senador Luiz Henrique,"RUA ALEXANDRE DOHLER, 78. CENTRO, JOINVILLE, SC. CEP:89201-260",4732277015,
LÍDICE DA MATA,BA,PSB,Escritório de Apoio 1 da Senadora Lídice da Mata,"RUA JACOBINA, 64. SALAS 501/502, ED. EMPRESARIAL RIO VERMELHO. RIO VERMELHO, SALVADOR, BA. CEP:41940-160",,
LÚCIA VÂNIA,GO,PSDB,Escritório de Apoio da Senadora Lúcia Vânia,"RUA 84,  N° 693. SETOR SUL. GOIANIA, GO. CEP:74093-210",6133032844,
MAGNO MALTA,ES,PR,Escritório de Apoio 2 do Senador Magno Malta,"AVENIDA JOSÉ FÉLIX CHEIN, 212. NOVA BRASÍLIA, CACHOEIRO DE ITAPEMIRIM, ES. CEP:29101-350",,
MAGNO MALTA,ES,PR,Escritório de Apoio do Senador Magno Malta,"RUA CASTELO BRANCO, 723. PRAIA DA COSTA, VILA VELHA, ES. CEP:29101-485",,
MARIA DO CARMO ALVES,SE,DEM,Escritório de Apoio da Senadora Maria do Carmo Alves,"RUA CEDRO, 348. ARACAJU, SE. CEP:49020-170",6133031306,
MOZARILDO CAVALCANTI,RR,PTB,Escritório de Apoio do Senador Mozarildo Cavalcanti,"AVENIDA VILLE ROY, 3830. APARECIDA, BOA VISTA, RR. CEP:69306-404",9536242559,
MÁRIO COUTO,PA,PSDB,Escritório de Apoio do Senador Mário Couto,"AVENIDA TRAVESSA SÃO PEDRO, 566. EDIFÍCIO CARAJÁS, SALA 203. CAMPINA, BELÉM, PA. CEP:66023-705",,
PAULO BAUER,SC,PSDB,Escritório de Apoio do Senador Paulo Bauer,"AVENIDA OSMAR CUNHA, 183. BLOCO C, SALA 902. CENTRO, FLORIANÓPOLIS, SC. CEP:88015-100",,
PAULO DAVIM,RN,PV,Escritório de Apoio 1 do Senador Paulo Davim,"AVENIDA SALGADO FILHO, 2190. EMPRESARIAL PORTUGAL CENTER - SALAS 123/125. LAGOA NOVA, NATAL, RN. CEP:50056-000",8432061015,8432061954
PAULO PAIM,RS,PT,Escritório de Apoio do Senador Paulo Paim,"RUA RIO DE JANEIRO, 70. CASA COMERCIAL. MATHIAS VELHO, CANOAS, RS. CEP:92340-160",,
PEDRO SIMON,RS,PMDB,Escritório de Apoio do Senador Pedro Simon,"AVENIDA PROTÁSIO ALVES, 2657. SALA 401. PETRÓPOLIS, PORTO ALEGRE, RS. CEP:70410-002",5133344329,
PEDRO TAQUES,MT,PDT,Escritório de Apoio do Senador Pedro Taques,"AVENIDA RUBENS DE MENDONÇA, 2254. EDIFÍCIO AMERICAN BUSINESS CENTER, SL 1001, 10º ANDAR. CUIABA, MT. CEP:78050-000",,
RANDOLFE RODRIGUES,AP,PSOL,Escritório de Apoio nº 1 do Senador Randolfe Rodrigues,"AVENIDA MACHADO DE ASSIS, 27. CENTRO, MACAPA, AP. CEP:68900-066",,
RENAN CALHEIROS,AL,PMDB,Escritório de Apoio do Senador Renan Calheiros,"RUA PAULINA DE MENDONÇA, 816. MANGABEIRAS, MACEIO, AL. CEP:57037-600",8233259360,
RICARDO FERRAÇO,ES,PMDB,Escritório de Apoio do Senador Ricardo Ferraço,"AVENIDA NOSSA SENHORA DOS NAVEGANTES, 451. SALAS 1603 E 1604. ED. PETRO TOWER BUSINESS. ENSEADA DO SUÁ, VITÓRIA, ES. CEP:29050-335",2733765600,2733765800
ROBERTO REQUIÃO,PR,PMDB,Escritório de Apoio 1 do Senador Roberto Requião,"RUA EDUARDO CARLOS PEREIRA, 3136. CURITIBA, PR. CEP:80610-170",,
ROMERO JUCÁ,RR,PMDB,Escritório de Apoio do Senador Romero Jucá,"RUA 9 DE JULHO, 1196. SÃO FRANCISCO, BOA VISTA, RR. CEP:69305-030",6133032112,
RUBEN FIGUEIRÓ,MS,PSDB,Escritório Apoio nº1 do Senador Rubem Figueiró                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,"AVENIDA AFONSO PENA, 5723. SALA 1101. SANTA FÉ, CAMPO GRANDE, MS. CEP:79031-010",6730261077,
SERGIO SOUZA,PR,PMDB,Escritório de Apoio 1 do Senador Sérgio de Souza,"RUA EUZÉBIO DA MOTTA, 669. ALTO DA GLÓRIA, CURITIBA, PR. CEP:80530-260",,
SÉRGIO PETECÃO,AC,PMN,Escritório de Apoio do Senador Sérgio Petecão,"VIA CHICO MENDES, KM, 1. TRIÂNGULO NOVO, RIO BRANCO, AC. CEP:69906-000",,
VALDIR RAUPP,RO,PMDB,Escritório de Apoio do Senador Valdir Raupp,"RUA TENREIRO ARANHA, 3313. OLARIA, PORTO VELHO, RO. CEP:76801-278",6133112252,
VANESSA GRAZZIOTIN,AM,PCdoB,Escritório de Apoio da Senadora Vanessa Grazziotin,"RUA ANGELIM, 34. AREA CONTÍGUA AO CJ. KISSIA. PLANALTO, MANAUS, AM. CEP:69040-230",9231321947,
VICENTINHO ALVES,TO,PR,Escritório Apoio 1 do Senador Vicentinho Alves                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,"QUADRA 106 SUL, CASA, 49. ALAMEDA 30. PLANO DIRETOR SUL, PALMAS, TO. CEP:77020-050",6332121485,6332241259
VICENTINHO ALVES,TO,PR,Escritório Apoio 2 do Senador Vicentinho Alves                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,"AVENIDA LUÍS RIBEIRO LEITE, 1711. SETOR AEROPORTO, PORTO NACIONAL, TO. CEP:77500000",6333635670,6333635670
VITAL DO RÊGO,PB,PMDB,Escritório de Apoio do Senador Vital do Rêgo,"RUA EUNÍCIO OLIVEIRA DE ARAÚJO, 247. SANTA ROSA, CAMPINA GRANDE, PB. CEP:58416-320",8399712331,
VITAL DO RÊGO,PB,PMDB,Escritório de Apoio nº 2 do Senador Vital do Rêgo,"AVENIDA ALMIRANTE BARROSO, 600. ED. VILLA EMPRESARIAL. CENTRO, JOÃO PESSOA, PB. CEP:58013-120",8330310057,
WALDEMIR MOKA,MS,PMDB,Escritório de Apoio do Senador Waldemir Moka,"RUA MARANHÃO, 308. VILA CÉLIA, CAMPO GRANDE, MS. CEP:79022-560",,
WALTER PINHEIRO,BA,PT,Escritório de Apoio 1 do Senador Walter Pinheiro,"CONDOMÍNIO SALVADOR TRADE CENTER. CAMINHO DAS ÁRVORES, SALVADOR, BA. CEP:41820-020",7134532087,
WELLINGTON DIAS,PI,PT,Escritório de Apoio do Senador Wellington Dias,"AVENIDA ALZIRA PEDROSA, 370. NOIVOS, TERESINA, PI. CEP:64046-150",8632311650,
WILDER MORAIS,GO,DEM,Escritório Apoio 1 do Senador Wilder Morais,"RUA RUA 88, 613. QUADRA F-36, LOTE 6-81. SETOR SUL, GOIANIA, GO. CEP:74085-115",,
ZEZÉ PERRELLA,MG,PDT,Escritório de Apoio 1 do Senador Zezé Perrella,"RUA TURQUESA, 65. PRADO, BELO HORIZONTE, MG. CEP:30411-177",,
